Date	Commit	CMF	CML	CMVL	CSF	CSL	CSVL	CBF	CBL	CBVL
2012/10/12	adb5c24	0	0	0	5	61	0	0	0	0
2012/10/12	669abf4	0	0	0	7	63	0	0	0	0
2012/10/12	873f1ee	0	0	0	1	30	0	0	0	0
2012/10/12	7ac8626	0	0	0	3	38	0	0	0	0
2012/10/12	91a27b2	0	0	0	40	393	0	0	0	0
2012/10/12	e9069f4	0	0	0	1	4	0	0	0	0
2012/10/12	ea1fd777	0	0	0	1	2	0	0	0	0
2012/10/12	1bbb309	0	0	0	1	2	0	0	0	0
2012/10/12	dba1416	0	0	0	1	108	0	0	0	0
2012/10/12	4f81a41	1	8	4	3	894	0	1	1	1
2012/10/12	44feb38	0	0	0	1	221	0	0	0	0
2012/10/12	28eed34	0	0	0	1	23	0	0	0	0
2012/10/12	c19c6c9	0	0	0	1	3	0	0	0	0
2012/10/12	d20f2f8	0	0	0	64	13208	4	4	52	0
2012/10/12	dabdaf0	0	0	0	1	30	0	0	0	0
2012/10/12	93ac0ef	0	0	0	1	12	0	0	0	0
2012/10/12	28194fc	0	0	0	1	12	0	0	0	0
2012/10/12	8437e76	0	0	0	1	4	0	0	0	0
2012/10/12	4c67525	0	0	0	2	10	0	0	0	0
2012/10/12	5522be6	1	1	1	2	18	0	0	0	0
2012/10/12	9fff2fa	1	1	1	3	35	0	0	0	0
2012/10/12	22e2430d	2	2	2	8	87	0	0	0	0
2012/10/12	a74fb73	1	3	2	4	32	3	0	0	0
2012/10/12	0bcf087	0	0	0	1	4	0	0	0	0
2012/10/12	fe5fe90	0	0	0	2	12	0	0	0	0
2012/10/12	54499af	0	0	0	1	3	0	0	0	0
2012/10/12	a71a261	0	0	0	1	3	0	0	0	0
2012/10/12	fdc858a	0	0	0	1	2	0	0	0	0
2012/10/12	ccff9b1	0	0	0	5	104	8	0	0	0
2012/10/12	3dc329b	0	0	0	1	5	0	0	0	0
2012/10/12	03d3602	4	10	8	16	544	10	0	0	0
2012/10/12	0588f1f	0	0	0	2	71	0	0	0	0
2012/10/12	9d55ab7	1	12	0	2	27	0	0	0	0
2012/10/12	cb6b6df	0	0	0	1	21	0	0	0	0
2012/10/12	1a7bbda	0	0	0	1	16	4	0	0	0
2012/10/12	cd0608e	0	0	0	1	2	0	0	0	0
2012/10/12	cb8db5d	0	0	0	32	2420	6	2	18	0
2012/10/12	f2f0945	0	0	0	1	10	0	0	0	0
2012/10/12	17b572e	0	0	0	2	46	0	0	0	0
2012/10/12	d1871b3	0	0	0	2	4	0	0	0	0
2012/10/12	24b8592	0	0	0	1	3	0	0	0	0
2012/10/12	42c1221	0	0	0	1	2	2	0	0	0
2012/10/12	f0a996e	0	0	0	1	9	2	0	0	0
2012/10/12	f30fed1	0	0	0	1	18	0	0	0	0
2012/10/12	28bcd19	0	0	0	4	24	0	0	0	0
2012/10/12	f30be7d	0	0	0	2	200	0	0	0	0
2012/10/12	702d267	0	0	0	3	54	0	0	0	0
2012/10/12	1b3bcb3	1	22	12	3	10	10	1	2	2
2012/10/12	7ad6623	0	0	0	1	4	2	1	1	1
2012/10/12	b699ec0	0	0	0	1	9	0	0	0	0
2012/10/12	d117773	0	0	0	1	2	0	0	0	0
2012/10/12	1d8b1fd	0	0	0	1	2	0	0	0	0
2012/10/12	8bcde1f	0	0	0	1	14	0	0	0	0
2012/10/12	2d79281	0	0	0	2	378	0	0	0	0
2012/10/12	065a13e	0	0	0	1	6	0	0	0	0
2012/10/12	4c89b6a	0	0	0	1	10	0	0	0	0
2012/10/12	f5a2598	0	0	0	1	13	0	0	0	0
2012/10/12	be3cd5e	0	0	0	1	3	0	0	0	0
2012/10/12	eda2d7f	0	0	0	1	3	0	0	0	0
2012/10/12	4afa0ac	0	0	0	1	6	0	0	0	0
2012/10/12	fa55583	0	0	0	1	34	0	0	0	0
2012/10/12	ccd0d36	0	0	0	1	3	0	0	0	0
2012/10/12	9169d3a	0	0	0	1	2	0	0	0	0
2012/10/12	1cf8378	0	0	0	1	7	0	0	0	0
2012/10/12	acb868d	0	0	0	3	89	0	0	0	0
2012/10/12	26b6e44	0	0	0	2	6	0	0	0	0
2012/10/12	c1f8d90	1	12	0	2	27	0	0	0	0
2012/10/12	8e377d1	0	0	0	1	2	0	0	0	0
2012/10/12	cfd4da1	0	0	0	1	2	0	0	0	0
2012/10/12	a608ca2	0	0	0	2	10	0	0	0	0
2012/10/12	4fa6b5e	0	0	0	5	85	0	0	0	0
2012/10/12	e3d6b07	0	0	0	4	32	0	0	0	0
2012/10/12	29e9a34	0	0	0	1	27	0	0	0	0
2012/10/12	563a0d1	0	0	0	4	15	0	0	0	0
2012/10/12	bfcec70	0	0	0	8	121	0	0	0	0
2012/10/12	78e2e80	0	0	0	2	20	0	0	0	0
2012/10/12	c43a25a	0	0	0	5	38	0	0	0	0
2012/10/12	9cec9d6	0	0	0	1	6	0	0	0	0
2012/10/12	1c2e51e	0	0	0	1	4	0	0	0	0
2012/10/12	f78570d	0	0	0	1	8	0	0	0	0
2012/10/12	4f1cd91	2	11	4	159	10977	8	1	7	0
2012/10/12	759e00b	0	0	0	7	869	2	0	0	0
2012/10/12	5cea24c	1	17	3	36	595	22	2	11	3
2012/10/12	2fc07ef	0	0	0	7	239	0	0	0	0
2012/10/12	79360dd	0	0	0	39	336	0	0	0	0
2012/10/12	8213a2f	5	5	5	91	1211	24	2	8	0
2012/10/12	4092475	0	0	0	3	66	0	0	0	0
2012/10/11	fb45550	0	0	0	1	4	0	0	0	0
2012/10/11	d6b2123	0	0	0	1	13	0	0	0	0
2012/10/11	ecf89e5	0	0	0	1	5	0	0	0	0
2012/10/11	ba4df28	0	0	0	1	41	0	0	0	0
2012/10/11	cb45076	0	0	0	2	43	0	0	0	0
2012/10/11	d9d0738	0	0	0	1	26	0	0	0	0
2012/10/11	6972d6f	0	0	0	2	37	0	0	0	0
2012/10/11	7721d3c	0	0	0	1	26	0	0	0	0
2012/10/12	cbd8aca	0	0	0	0	0	0	0	0	0
2012/10/12	35e9a274	0	0	0	0	0	0	0	0	0
2012/10/12	ae3e462	0	0	0	1	2	0	1	19	0
2012/10/12	5f76945	2	17	11	123	10819	1	3	13	6
2012/10/12	940e3a8	0	0	0	4	94	0	0	0	0
2012/10/11	98f6ef6	0	0	0	1	1	0	0	0	0
2012/10/11	808d4e3	0	0	0	10	53	0	0	0	0
2012/10/11	60fe5771	0	0	0	2	114	0	2	2	0
2012/10/11	4c5bb2e	0	0	0	1	2	0	0	0	0
2012/10/11	415c2c5	0	0	0	1	2	0	0	0	0
2012/10/11	39bc66c	0	0	0	2	8	0	0	0	0
2012/10/11	5d9d01a	0	0	0	3	23	0	0	0	0
2012/10/11	e7d491a	0	0	0	1	3	0	0	0	0
2012/10/11	aac9453	0	0	0	1	4	0	0	0	0
2012/10/11	0d0d0b1	0	0	0	2	1144	0	2	2	0
2012/10/11	0e24c4f	0	0	0	1	2	0	0	0	0
2012/10/11	0abc1ce	0	0	0	1	2	0	0	0	0
2012/10/11	bf3b202	2	11	4	160	10979	8	1	7	0
2012/10/11	759f429	0	0	0	1	3	0	0	0	0
2012/10/11	a9ca404	0	0	0	3	28	0	0	0	0
2012/10/11	8e49f41	0	0	0	1	4	0	0	0	0
2012/10/11	26de9c2	0	0	0	0	0	0	0	0	0
2012/10/11	48b3b32	0	0	0	28	769	0	2	16	0
2012/10/11	59b69ac	0	0	0	1	21	0	0	0	0
2012/10/11	bb95a0d	0	0	0	3	30	0	0	0	0
2012/10/11	4262a72	0	0	0	28	769	0	2	16	0
2012/10/11	a0f0dd5	323	14923	7407	10302	2342433	6933	441	4862	1732
2012/10/11	7606c37	0	0	0	3	20	0	0	0	0
2012/10/11	f3d447a	0	0	0	6	44	0	0	0	0
2012/10/11	4ed27ec	0	0	0	3	1232	0	0	0	0
2012/10/11	d23b579	0	0	0	1	2	0	0	0	0
2012/10/11	8eea8a6	0	0	0	1	6	0	0	0	0
2012/10/11	f248ef1	0	0	0	1	12	0	0	0	0
2012/10/11	9b76beb	0	0	0	1	2	0	0	0	0
2012/10/11	35bafbe	0	0	0	68	5863	64	2	39	0
2012/10/11	49a94e9	0	0	0	1	27	0	0	0	0
2012/10/11	fd9e839	0	0	0	1	1	0	0	0	0
2012/10/11	2551aeb	1	10	4	3	451	11	1	1	1
2012/10/11	2eaaac5	0	0	0	1	3	0	0	0	0
2012/10/11	3efd5a0	0	0	0	1	10	0	0	0	0
2012/10/11	851d4f5	1	19	17	4	487	6	1	2	2
2012/10/11	24e8c1a	1	11	10	3	441	0	1	1	1
2012/10/11	bd8510d	1	22	20	6	161	6	1	4	4
2012/10/11	748e787	0	0	0	1	23	0	0	0	0
2012/10/11	981ef0d	0	0	0	1	20	0	0	0	0
2012/10/11	4750325	0	0	0	19	20	0	0	0	0
2012/10/11	ee80f7c7	0	0	0	5	13	0	0	0	0
2012/10/11	f59a2d2	0	0	0	1	20	0	0	0	0
2012/10/11	a7911a8	0	0	0	1	103	7	0	0	0
2012/10/11	399aaa2	1	4	3	1	16	16	0	0	0
2012/10/11	ecb8ee8	0	0	0	1	5	3	0	0	0
2012/10/11	da4b62c	0	0	0	5	16	0	0	0	0
2012/10/11	c5600b2	0	0	0	1	154	0	0	0	0
2012/10/11	485172b	0	0	0	2	38	0	0	0	0
2012/10/11	c87728c	0	0	0	1	9	0	0	0	0
2012/10/11	b4f2a17	0	0	0	1	64	0	0	0	0
2012/10/11	c7c0f2c	0	0	0	1	22	0	0	0	0
2012/10/11	ad5396e	0	0	0	1	62	5	0	0	0
2012/10/11	dae6ba4	0	0	0	1	5	0	0	0	0
2012/10/11	ef8dee5	0	0	0	1	5	0	0	0	0
